Year-Month,SHY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV
2007-04,1.000,1.044,1.068,1.016,1.035,1.032,1.004,0.987,1.014
2007-03,1.003,1.015,1.051,1.039,1.046,1.047,1.028,1.049,1.073
2007-02,1.005,1.024,1.062,0.994,1.008,1.010,1.021,1.036,1.002
2007-01,1.007,1.027,0.980,0.971,0.989,0.973,0.985,1.053,0.977
2006-12,1.002,1.040,0.991,1.009,1.021,1.020,1.020,0.996,1.030
2006-11,1.001,0.995,0.969,1.030,0.997,0.989,1.020,0.999,1.007
2006-10,1.005,1.044,1.086,1.007,1.024,1.028,0.991,1.026,0.999
2006-09,1.004,1.060,1.043,1.023,1.028,1.040,1.018,1.053,1.003
2006-08,1.004,1.000,0.963,1.040,1.038,1.040,0.999,0.985,1.015
2006-07,1.008,1.030,0.949,1.012,1.011,1.070,1.039,1.028,1.029
2006-06,1.007,0.963,1.034,1.023,0.943,0.974,1.016,1.048,1.055
2006-05,1.002,1.005,1.022,0.995,0.999,0.995,1.018,1.023,1.000
2006-04,1.002,0.960,0.972,0.962,0.983,0.935,1.002,1.016,0.979
2006-03,1.002,1.035,1.050,1.043,1.021,0.987,1.010,1.016,0.969
2006-02,1.002,1.047,1.042,1.003,1.044,1.023,1.008,0.954,0.987
2006-01,1.000,0.978,0.908,1.021,1.031,1.002,1.008,1.013,1.012
2005-12,1.002,1.048,1.146,1.009,1.003,1.034,1.002,1.024,1.013
2005-11,1.004,1.029,1.018,1.000,1.005,0.969,1.001,1.009,1.035
2005-10,1.004,1.076,1.015,1.048,1.058,1.063,1.009,0.999,1.012
2005-09,0.999,1.002,0.909,1.030,0.986,0.977,0.996,0.936,0.969
2005-08,0.997,1.008,1.063,1.009,1.017,1.002,1.014,1.042,0.995
2005-07,1.007,0.958,1.064,0.983,0.976,0.991,0.983,1.006,0.996
2005-06,0.996,1.056,1.071,1.016,1.038,1.057,1.032,1.023,1.023
2005-05,1.002,0.980,1.070,1.012,0.974,0.987,0.981,1.059,0.994

